field1,Game_id,Person_id,Team_id,First_Name,Last_Name,minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,Three_Pointers,Three_Pointers_Attempted,Three_Point_Percentage,Free_Throws,Free_Throws_Attempted,Free_Throw_Percentage,Offensive_Rebounds,Defensive_Rebounds,Assists,Personal_Fouls,Steals,Turnovers,Blocked_Shots,Points,location,outcome,season_id,vs_team_id,league_id,Technical_Fouls,Flagrant_Fouls,Ejections,Points_In_Paint,Fast_Break_Points,Triple_Doubles,Double_Doubles,actual_minutes,actual_seconds,Plus_Minus,Blocks_Against,PTS_OFF_TO,Second_Chance_PTS,Total_Rebounds,points_per_36,rebounds_per_36,assists_per_36,steals_per_36,blocks_per_36
1324,20300065,2407,1610612764,Jared,Jeffries,28,4,11,0.364,0,1,0,2,3,0.667,2,3,1,2,1,1,0,10,H,W,2003,1610612761,0,0,0,0,8,0,0,0,28,0,15,2,4,2,5,12.85714286,6.428571429,1.285714286,1.285714286,2.571428571
1325,20300065,2413,1610612764,Juan,Dixon,22,4,7,0.571,1,1,1,4,5,0.8,3,0,2,2,4,1,0,13,H,W,2003,1610612761,0,0,0,0,4,5,0,0,22,0,17,0,9,4,3,21.27272727,4.909090909,3.272727273,6.545454545,0
1347,20300066,2412,1610612738,Jiri,Welsch,10,1,3,0.333,0,1,0,0,0,0,0,1,1,1,0,0,0,2,H,L,2003,1610612751,0,0,0,0,2,2,0,0,9,30,-14,0,0,0,1,7.2,3.6,3.6,0,0
1348,20300066,2447,1610612751,Tamar,Slay,13,4,5,0.8,1,1,1,0,0,0,1,1,1,0,1,1,0,9,A,W,2003,1610612738,0,0,0,0,2,2,0,0,12,38,8,0,4,0,2,24.92307692,5.538461538,2.769230769,2.769230769,0
1369,20300067,2421,1610612752,Frank,Williams,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,H,W,2003,1610612758,0,0,0,0,0,0,0,0,3,0,-1,0,0,0,0,0,0,12,0,0
1387,20300068,2430,1610612739,Carlos,Boozer,29,10,16,0.625,0,0,0,0,1,0,5,4,1,3,1,0,0,20,A,L,2003,1610612754,0,0,0,0,14,4,0,0,29,0,-8,1,4,4,9,24.82758621,11.17241379,1.24137931,1.24137931,1.24137931
1430,20300070,2416,1610612747,Kareem,Rush,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,A,L,2003,1610612740,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,18,0,0,0
1431,20300070,2457,1610612747,Jannero,Pargo,14,1,2,0.5,0,1,0,0,0,0,0,0,3,0,0,2,0,2,A,L,2003,1610612740,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0,5.142857143,0,7.714285714,0,0
1447,20300071,2246,1610612765,Mehmet,Okur,25,3,11,0.273,0,0,0,6,8,0.75,8,10,3,4,1,1,4,12,H,W,2003,1610612749,0,0,0,0,6,2,0,1,25,16,-4,0,0,2,18,17.28,25.92,4.32,1.44,0
1448,20300071,2409,1610612749,Marcus,Haislip,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,A,L,2003,1610612765,0,0,0,0,0,0,0,0,1,43,5,0,0,0,2,0,36,0,0,0
1449,20300071,2419,1610612765,Tayshaun,Prince,41,6,12,0.5,2,4,0.5,1,2,0.5,1,3,3,2,2,0,0,15,H,W,2003,1610612749,0,0,0,0,2,0,0,0,40,36,-1,1,5,2,4,13.17073171,3.512195122,2.634146341,1.756097561,0.87804878
1450,20300071,2429,1610612749,Dan,Gadzuric,17,2,6,0.333,0,0,0,1,2,0.5,5,4,0,4,0,0,0,5,A,L,2003,1610612765,0,0,0,0,4,0,0,0,16,50,3,0,2,5,9,10.58823529,19.05882353,0,0,0
1470,20300072,2422,1610612755,John,Salmons,7,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,A,W,2003,1610612741,0,0,0,0,0,0,0,0,7,17,0,0,0,0,3,0,15.42857143,0,5.142857143,0
1471,20300072,2437,1610612741,Lonny,Baxter,23,3,7,0.429,0,0,0,0,0,0,1,5,0,6,0,0,0,6,H,L,2003,1610612755,0,0,0,0,6,0,0,0,22,53,-7,2,0,0,6,9.391304348,9.391304348,0,0,3.130434783
1486,20300073,2060,1610612746,Marko,Jaric,33,5,14,0.357,2,3,0.667,1,2,0.5,0,2,8,4,5,4,2,13,A,W,2003,1610612743,0,0,0,0,4,2,0,0,33,0,1,1,4,0,2,14.18181818,2.181818182,8.727272727,5.454545455,1.090909091
1491,20300073,2401,1610612743,Nikoloz,Tskitishvili,8,1,4,0.25,0,0,0,0,0,0,0,1,1,0,0,1,0,2,H,L,2003,1610612746,0,0,0,0,0,0,0,0,8,0,-7,0,0,0,1,9,4.5,4.5,0,0
