year	round	pick	player	position	school
1989	1	16	Dana Barros	PG	Boston College?
1989	1	17	Shawn Kemp	PF/C	Trinity Valley CC
1989	1	18	B. J. Armstrong	PG	Iowa?
1989	1	19	Kenny Payne	PF	Louisville?
1989	1	20	Jeff Sanders	PF/C	Georgia Southern?
1989	1	21	Blue Edwards	SF/SG	East Carolina?
1989	1	22	Byron Irvin	SG	Missouri?
1989	1	23	Roy Marble	SG/SF	Iowa?
1989	1	24	Anthony Cook	PF/C	Arizona?
1989	1	25	John Morton	PG	Seton Hall?
1989	1	26	Vlade Divac	C	KK Partizan?
1989	1	27	Kenny Battle	PF	Illinois?
1989	2	28	Sherman Douglas	G	Syracuse?
1989	2	29	Dyron Nix	F	Tennessee?
1989	2	30	Frank Kornet	F	Vanderbilt?
1989	2	31	Jeff Martin	G	Murray State?
1989	2	32	Stanley Brundy	F	DePaul?
1989	2	33	Jay Edwards	G	Indiana?
1989	2	34	Gary Leonard	C	Missouri?
1989	2	35	Pat Durham	F	Colorado State?
1989	2	36	Cliff Robinson	PF/C	Connecticut?
1989	2	37	Michael Ansley	F	Alabama?
1989	2	38	Doug West	G/F	Villanova?
1989	2	39	Ed Horton	PF/C	Iowa?
1989	2	40	Dino Ra?a	PF	KK Split?
1989	2	41	Doug Roth	C	Tennessee?
1989	2	42	Michael Cutright	SG	McNeese State?
1989	2	43	Chucky Brown	PF	North Carolina State?
1989	2	44	Reggie Cross	PF	Hawaii?
1989	2	45	Scott Haffner	G	Evansville?
1989	2	46	Ricky Blanton	F	LSU?
1989	2	47	Reggie Turner	SF	UAB?
1989	2	48	Junie Lewis	PG	South Alabama?
1989	2	49	Haywoode Workman	G	Oral Roberts?
1989	2	50	Brian Quinnett	F	Washington State?
1989	2	51	Mike Morrison	G	Loyola 
1989	2	52	Greg Grant	G	Trenton State?
1989	2	53	Jeff Hodge	SG	South Alabama?
1989	2	54	Toney Mack	SG	Georgia?
1990	1	1	Derrick Coleman	PF/C	Syracuse
1990	1	2	Gary Payton	PG	Oregon State
1990	1	3	Chris Jackson	PG	LSU
1990	1	4	Dennis Scott	SG/SF	Georgia Tech
1990	1	5	Kendall Gill	SG	Illinois
1990	1	6	Felton Spencer	C	Louisville
1990	1	7	Lionel Simmons	SF	La Salle
1990	1	8	Bo Kimble	SG	Loyola Marymount
1990	1	9	Willie Burton	SG	Minnesota
1990	1	10	Rumeal Robinson	PG	Michigan
1990	1	11	Tyrone Hill	PF	Xavier
1990	1	12	Alec Kessler	PF	Georgia
1990	1	13	Loy Vaught	PF	Michigan
1990	1	14	Travis Mays	PG	Texas
1990	1	15	Dave Jamerson	SG	Ohio
1990	1	16	Terry Mills	SF	Michigan
1990	1	17	Jerrod Mustaf	F/C	Maryland
1990	1	18	Duane Causwell	C	Temple
1990	1	19	Dee Brown	SG	Jacksonville
1990	1	20	Gerald Glass	SF/SG	Ole Miss
1990	1	21	Jayson Williams	PF/C	St. John's
1990	1	22	Tate George	SG	Connecticut
1990	1	23	Anthony Bonner	PF/SF	Saint Louis
1990	1	24	Dwayne Schintzius	C	Florida
1990	1	25	Alaa Abdelnaby	PF	Duke
1990	1	26	Lance Blanks	PG/SG	Texas
1990	1	27	Elden Campbell	PF/C	Clemson
1990	2	28	Les Jepsen	C	Iowa
1990	2	29	Toni Kuko?	SF	KK Split?
1990	2	30	Carl Herrera	PF	Houston
1990	2	31	Negele Knight	G	Dayton
1990	2	32	Brian Oliver	G	Georgia Tech
1990	2	33	Walter Palmer	C/F	Dartmouth
1990	2	34	Kevin Pritchard	G	Kansas
1990	2	35	Greg Foster	F/C	UTEP
1990	2	36	Trevor Wilson	F	UCLA
1990	2	37	A.J. English	G	Virginia Union
1990	2	38	Jud Buechler	F/G	Arizona
1990	2	39	Steve Scheffler	C/F	Purdue
1990	2	40	Bimbo Coles	G	Virginia Tech
1990	2	41	Steve Bardo	G	Illinois
1990	2	42	Marcus Liberty	F	Illinois
1990	2	43	Tony Massenburg	F	Maryland
1990	2	44	Steve Henson	G	Kansas State
1990	2	45	Antonio Davis	F/C	UTEP
1990	2	46	Kenny Williams	F	Elizabeth City State
1990	2	47	Derek Strong	F	Xavier
1990	2	48	Cedric Ceballos	F	Cal State Fullerton
1990	2	49	Phil Henderson	SG	Duke
1990	2	50	Milo? Babi?	C	Tennessee Tech
1990	2	51	Tony Smith	G	Marquette
1990	2	52	Stefano Rusconi	PF/C	Ranger Varese?
1990	2	53	Abdul Shamsid-Deen	C	Providence
1990	2	54	Sean Higgins	G/F	Michigan
