"","nameurl","games","minutes"
"675","dion-waiters-1","71","1448"
"676","maalik-wayns-1","95","2460"
"677","tony-wroten-1","35","1060"
"678","luke-zeller-1","128","1689"
"679","tyler-zeller-1","117","2691"
"680","steven-adams-1","32","748"
"681",NA,NA,NA
"682",NA,NA,NA
"683","chris-babb-1","130","3445"
"684","anthony-bennett-1","35","948"
"685","vander-blue-1","106","2724"
"686","lorenzo-brown-1","101","3292"
"687","reggie-bullock-1","46",NA
"688","trey-burke-1","73","2606"
"689","dwight-buycks-1","68","1768"
"690","nick-calathes-1","72","2376"
"691","kentavious-caldwell-pope-1","64","2112"
"692","isaiah-canaan-1","132","3880"
"693","michael-carter-williams-1","66","1676"
"694","dionte-christmas-1","130","3848"
"695","ian-clark-1","133","3817"
"696","robert-covington-1","118","3540"
"697","allen-crabbe-1","98","3400"
"698","seth-curry-1","141","4356"
"699","troy-daniels-1","125","2112"
"700","brandon-davies-1","135","3253"
"701","dewayne-dedmon-1","51","1157"
"702","matthew-dellavedova-1","136","4950"
"703","gorgui-dieng-1","102","2784"
"704","shane-edwards-1","62","1413"
"705","carrick-felix-1","94","2622"
"706","jamaal-franklin-1","85","2201"
"707",NA,NA,NA
"708","archie-goodwin-1","33","1049"
"709","jorge-gutierrez-1","129","3431"
"710","justin-hamilton-1","113","3525"
"711","elias-harris-1","135","3780"
"712","solomon-hill-1","139","4031"
"713","scotty-hopson-1","103","2760"
"714","robbie-hummel-1","127","3835"
"715",NA,NA,NA
"716","ryan-kelly-1","41","668"
"717",NA,NA,NA
"718","shane-larkin-1","68","2128"
"719",NA,NA,NA
"720","alex-len-1","60","1470"
"721","ray-mccallum-1","115","4163"
"722","cj-mccollum-1","111","3651"
"723","ben-mclemore-1","37","1191"
"724","gal-mekel-1","62","1357"
"725","tony-mitchell-1","70",NA
"726","shabazz-muhammad-1","32","985"
"727","erik-murphy-1","136","2488"
"728","mike-muscala-1","133","3817"
"729",NA,NA,NA
"730","james-nunnally-1","123","3616"
"731","victor-oladipo-1","104","2558"
"732","kelly-olynyk-1","101","1737"
"733","arinze-onuaku-1","134","3055"
"734","mason-plumlee-1","141","3651"
"735","otto-porter-1","64","2080"
"736","phil-pressey-1","99","2940"
"737",NA,NA,NA
"738","glen-rice-1","134","3993"
"739","andre-roberson-1","105","2971"
"740",NA,NA,NA
"741","peyton-siva-1","144","3772"
"742","chris-smith-1","127","4267"
"743","tony-snell-1","104","2579"
"744","james-southerland-1","112","2094"
"745","adonis-thomas-1","55","1512"
"746","hollis-thompson-1","99","2435"
"747","casper-ware-1","131","4323"
"748","royce-white-1","34","1071"
"749","jeff-withey-1","117","2316"
"750","nate-wolters-1","127","4203"
"751","cody-zeller-1","72","2088"
"752","jordan-adams-1","69","2083"
"753",NA,NA,NA
"754",NA,NA,NA
"755","cameron-bairstow-1","134","2787"
"756","jerrelle-benimon-1","128","3097"
"757","sim-bhullar-1","65","1644"
"758","tarik-black-1","135","2794"
"759",NA,NA,NA
"760","jabari-brown-1","62","2163"
"761","markel-brown-1","134","4087"
"762",NA,NA,NA
"763",NA,NA,NA
"764","will-cherry-1","116","3561"
"765","patrick-christopher-1","134","4127"
"766","jordan-clarkson-1","93","2948"
"767","jack-cooley-1","123","2435"
"768","bryce-cotton-1","130","4316"
"769","andre-dawkins-1","142","2470"
"770","spencer-dinwiddie-1","86","2588"
"771",NA,NA,NA
"772","larry-drew-1","117","4153"
"773","cleanthony-early-1","75","1965"
"774","james-ennis-1","67","2077"
"775","tyler-ennis-1","34","1213"
"776",NA,NA,NA
"777","tim-frazier-1","135","4131"
"778","langston-galloway-1","133","4721"
"779","aaron-gordon-1","38","1185"
"780","drew-gordon-1","101","2323"
"781","jerami-grant-1","72","1576"
"782","erick-green-1","129","3650"
"783","jamychal-green-1","123","3345"
"784","gary-harris-1","69","2139"
"785","joe-harris-1","15","151"
"786","rodney-hood-1","67","2197"
"787",NA,NA,NA
"788","cory-jefferson-1","130","2587"
"789","grant-jerrett-1","34","605"
"790","nick-johnson-1","108","3337"
"791","tyler-johnson-1","5",NA
"792","sean-kilpatrick-1","140","4312"
"793","alex-kirk-1","4","4"
"794",NA,NA,NA
"795","zach-lavine-1","37","902"
"796","kalin-lucas-1","141","4272"
"797",NA,NA,NA
"798","doug-mcdermott-1","145","4567"
"799","mitch-mcgary-1","47","968"
"800","jerel-mcneal-1","130","4017"
"801","elijah-millsap-1","87","2357"
"802",NA,NA,NA
"803","eric-moreland-1","89","2225"
"804","shabazz-napier-1","143","4618"
"805","nerlens-noel-1","24","765"
"806",NA,NA,NA
"807",NA,NA,NA
"808",NA,NA,NA
"809",NA,NA,NA
"810","jabari-parker-1","35","1074"
"811","adreian-payne-1","138","2760"
"812","elfrid-payton-1","100","3160"
