"br_url","Month","Minutes","Points","Rebounds","Assists","Steals","Turnovers","Blocks","First","Last","PlayerIndex","CollegeGames","CollegeMinutes","Pts36","Ast36","Reb36","Stl36","TO36","Blk36","CollegeMPG"
"tristan-thompson-1",1,253,104,73,1,4,18,15,"Tristan","Thompson",595.9999999999998,128,3263.9999999999995,14.798418972332016,0.14229249011857706,10.387351778656127,0.5691699604743082,2.5612648221343877,2.1343873517786562,25.499999999999996
"tristan-thompson-1",2,207,70,77,4,4,8,13,"Tristan","Thompson",595.9999999999999,128,3263.9999999999995,12.173913043478262,0.6956521739130435,13.391304347826086,0.6956521739130435,1.391304347826087,2.2608695652173916,25.499999999999996
"tristan-thompson-1",3,459,142,110,10,7,26,15,"Tristan","Thompson",595.9999999999998,128,3263.9999999999995,11.137254901960784,0.7843137254901962,8.627450980392156,0.5490196078431373,2.0392156862745097,1.1764705882352942,25.499999999999996
"tristan-thompson-1",4,442,154,118,11,11,24,15,"Tristan","Thompson",595.9999999999998,128,3263.9999999999995,12.542986425339366,0.8959276018099547,9.610859728506787,0.8959276018099547,1.9547511312217196,1.2217194570135745,25.499999999999996
"tristan-thompson-1",12,59,24,11,1,1,5,4,"Tristan","Thompson",596,128,3264,14.64406779661017,0.6101694915254238,6.711864406779661,0.6101694915254238,3.0508474576271185,2.440677966101695,25.5
"troy-bell-1",2,14,4,1,1,0,1,0,"Troy","Bell",6,122,4355,10.285714285714285,2.571428571428571,2.571428571428571,0,2.571428571428571,0,35.69672131147541
"troy-bell-1",3,13,2,1,2,1,2,0,"Troy","Bell",6,122,4355,5.538461538461538,5.538461538461538,2.769230769230769,2.769230769230769,5.538461538461538,0,35.69672131147541
"troy-bell-1",12,7,5,2,1,0,3,0,"Troy","Bell",6,122,4355,25.714285714285715,5.142857142857142,10.285714285714285,0,15.428571428571427,0,35.69672131147541
"troy-caupain-1",1,4,0,1,1,0,0,0,"Troy","Caupain",1110,137,3986,0,9,9,0,0,0,29.094890510948904
"troy-caupain-1",3,6,5,1,1,0,0,0,"Troy","Caupain",1110,137,3986,30,6,6,0,0,0,29.094890510948904
"troy-caupain-1",12,5,5,1,2,1,0,0,"Troy","Caupain",1110,137,3986,36,14.4,7.2,7.2,0,0,29.094890510948904
"troy-daniels-1",3,8,5,0,0,0,0,0,"Troy","Daniels",699,125,2112,22.5,0,0,0,0,0,16.896
"troy-daniels-1",4,126,68,13,6,2,5,0,"Troy","Daniels",699,125,2112,19.428571428571427,1.7142857142857142,3.714285714285714,0.5714285714285714,1.4285714285714284,0,16.896
"troy-daniels-1",5,9,0,0,0,0,0,0,"Troy","Daniels",699,125,2112,0,0,0,0,0,0,16.896
"troy-williams-1",4,143,58,26,6,3,7,1,"Troy","Williams",972,37,,14.6013986013986,1.5104895104895106,6.545454545454546,0.7552447552447553,1.7622377622377623,0.2517482517482518,
"troy-williams-1",5,14,1,5,1,0,1,0,"Troy","Williams",972,37,,2.571428571428571,2.571428571428571,12.857142857142858,0,2.571428571428571,0,
"troy-williams-1",10,10,3,0,1,2,0,0,"Troy","Williams",972,37,,10.799999999999999,3.6,0,7.2,0,0,
"troy-williams-1",11,171,64,13,9,8,10,2,"Troy","Williams",972.0000000000001,37.00000000000001,,13.473684210526315,1.894736842105263,2.7368421052631575,1.6842105263157894,2.1052631578947367,0.42105263157894735,
