"","pre_nba_group","pre_nba_group_str","MonthStr","MonthSegment","MonthBin","round","cbb_minutes","cbb_games","intl_game","intl_minutes","mean_gs","mean_gs_per_36","size","bin_date","draft_round","text"
"69",1,"1 (NCAA)","2 (Nov)",4,1,1,1151,33,0,0,9,9,1,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 9"
"70",1,"1 (NCAA)","2 (Nov)",4,1,1,1169,35,0,0,3.825,7.80506072775,4,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 4
Avg. Game Score: 7.81"
"71",1,"1 (NCAA)","2 (Nov)",4,1,1,1172,35,0,0,9.45,9.61875,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 9.62"
"72",1,"1 (NCAA)","2 (Nov)",4,1,1,1188,35,0,0,4.3,6.27571428575,4,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 4
Avg. Game Score: 6.28"
"73",1,"1 (NCAA)","2 (Nov)",4,1,1,1216,33,0,0,9.46666666666667,8.079704017,3,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 3
Avg. Game Score: 8.08"
"74",1,"1 (NCAA)","2 (Nov)",4,1,1,1256,35,0,0,9.13333333333333,9.09294871666667,3,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 3
Avg. Game Score: 9.09"
"75",1,"1 (NCAA)","2 (Nov)",4,1,1,1274,35,0,0,8.05,7.1175824175,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 7.12"
"76",1,"1 (NCAA)","2 (Nov)",4,1,2,0,28,0,0,1.9,4.56,1,"1st-10th","2nd round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 1
Avg. Game Score: 4.56"
"77",1,"1 (NCAA)","2 (Nov)",4,1,2,7,6,0,0,5.95,8.147368421,2,"1st-10th","2nd round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 2
Avg. Game Score: 8.15"
"78",1,"1 (NCAA)","2 (Nov)",4,1,2,151,15,0,0,1.3,9.36,1,"1st-10th","2nd round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 1
Avg. Game Score: 9.36"
"79",1,"1 (NCAA)","2 (Nov)",4,1,2,377,29,0,0,0.3,5.4,1,"1st-10th","2nd round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 1
Avg. Game Score: 5.4"
"80",1,"1 (NCAA)","2 (Nov)",4,1,2,672,31,0,0,2.75,7.6036363635,2,"1st-10th","2nd round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 2
Avg. Game Score: 7.6"
"81",1,"1 (NCAA)","2 (Nov)",4,1,2,790,25,0,0,5.05,8.32695652,2,"1st-10th","2nd round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 2
Avg. Game Score: 8.33"
"82",1,"1 (NCAA)","2 (Nov)",4,1,2,1085,31,0,0,3.7,8.9236363635,2,"1st-10th","2nd round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 2
Avg. Game Score: 8.92"
